26999.00,2022-09-25,惠普（HP） 暗影精灵8 水冷电竞游戏网课高端台式机电脑主机 英特尔12代酷睿 超频 i9-12900K RTX 3090 64G内存 1TSSD+2T旗舰版,惠普台式机旗舰店
24888.00,2022-09-25,深图师 电脑主机i9 12900K/RTX 3090 图形工作站设计师渲染影视后期剪辑建模水冷组装台式机 i9 12900KS+32GDDR5+双硬盘 配置一/GeForce RTX24G,深图师官方旗舰店
5899.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX3080 金属大师OC FG 10G 官方标配,台通电脑DIY专营店
1699.00,2022-09-25,华硕微星影驰RTX3060 3070 3080 3090 无锁永劫无游戏设计专业显卡 二手显卡95新 技嘉RTX3060 12G,乐豪二手电脑配件专营店
2899.00,2022-09-25,影驰 RTX3080Ti 3090 1050Ti星耀永劫金属大师黑将台式电脑主机专业办公游戏独立显卡 RTX3060 星耀OC,硕纬图数码专营店
5599.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX3070TI HOF+750W电源 官方标配,台通电脑DIY专营店
24999.00,2022-09-25,攀升探险家 12代i9 12900KF/RTX 3090 Ti/Z690/1T nvmeM.2/32G水冷电竞游戏台式电脑主机全套整机DIY组装机UPC,IPASON攀升电脑京东自营旗舰店
19999.00,2022-09-25,深图师 铂金8273CL RTX 3090 深度学习4路GPU工作站服务器设计渲染建模组装台式电脑主机 方案一：36核72线程/32G内存 RTX A4000 16G专业显卡,深图师官方旗舰店
5599.00,2022-09-25,七彩虹（COLORFUL） RTX3080TI/ 3090 Ti  台式组装电脑主机游戏电竞独立显卡 3080 Advanced OC 10G LHR,武极电脑DIY旗舰店
8899.00,2022-09-25,宁美（NINGMEI） i9 12900K RTX 3090 Ti深度学习视频渲染游戏4K电脑台式机主机 配一 12900K集显 16G 512G,宁美电脑官方旗舰店
37199.00,2022-09-25,微星(MSI)宙斯盾Ti5 水冷游戏台式电脑 电竞主机(12代酷睿i9-12900KF DDR5 128G RTX 3090 2T+3T ),微星京东自营旗舰店
5488.00,2022-09-25,华硕 微星 影驰 七彩虹RTX3070 3080 3090 无锁吃鸡专业游戏设计专业显卡高性能二手显卡 七彩虹RTX95新,腾卓二手电脑专营店
4399.00,2022-09-25,耕升（GAINWARD） RTX3070/3080/ 3090 /Ti 追风/炫光 高端发烧游戏独立显卡 RTX3070TI 星级皓月,星辰聚官方旗舰店
11888.00,2022-09-25,深图师 酷睿i9 12900K RTX 3090 TI深度学习主机人工智能双路GPU服务器水冷电脑工作站 准系统不含显卡 i9 12900K+32G内存+500G,深图师官方旗舰店
19499.00,2022-09-25,速佳宜数码 i9 12900KF/RTX3060/70/80/Ti电竞游戏台式组装电脑主机DIY整机 十二：i9 12900KF/影驰 3090 24G,速佳宜组装电脑旗舰店
16999.00,2022-09-25,名龙堂（MLOONG） i9 12900KF RTX3080 3090 /Ti组装电脑游戏台式主机整机,名龙堂DIY电脑旗舰店
15999.00,2022-09-25,优胜美电华硕ROG全家桶酷睿i9 12900K/RTX 3090 TI深度学习服务器AI人工智能电脑组装台式工作站主机,优胜美电京东自营旗舰店
22698.00,2022-09-25,cloud hin 云轩i9 10900X12900K深度学习服务器双路RTX 3090 图形视觉工作站 酷睿i9 12900K|16核24线程 含40系RTX4090显卡*1,云轩/Cloudhin旗舰店
2899.00,2022-09-25,华硕（ASUS） ROG猛禽RTX 3090 3080Ti 3070Ti 3060Ti 电竞游戏显卡 ROG-3050-O8G-GAMING,嘉锐电脑专营店
18999.00,2022-09-25,深图师 W-3175X /RTX 3090 深度学习人工智能3路GPU人工智能工作站服务器台式电脑主机 W3175X+64G 准系统不含显卡,深图师官方旗舰店
2599.00,2022-09-25,华硕 微星 七彩虹 RTX3060 3070 3080 3090 电竞游戏设计专业二手95新显卡 微星RTX3070-8G魔龙 95新,发烧DIY 二手电脑专营店
2399.00,2022-09-25,华硕微星影驰RTX3060 3070 3080 3090 无锁永劫无游戏设计专业显卡 二手显卡95新 华硕3070 8G,乐豪二手电脑配件专营店
26399.00,2022-09-25,惠普（HP） 暗影精灵8旗舰版 游戏台式电脑主机 全侧透机箱 水冷超频 1TB SSD+2TB机械 i9-12900K/64G/RTX 3090 -24G 单主机（不含显示器）,中港惠普电脑专卖店
5266.00,2022-09-25,华硕 微星 影驰 七彩虹RTX3070 3080 3090 无锁吃鸡专业游戏设计专业显卡高性能二手显卡 索泰RTX95新,腾卓二手电脑专营店
28999.00,2022-09-25,华硕（ASUS） ROG全家桶i9 12900K 3090 /3080TI猛禽水冷diy组装电脑主机 三：i9 12900K//32G,工蜂电脑办公专营店
12888.00,2022-09-25,深图师 至强E5 2680V3/RTX 3090 深度学习主机GPU服务器人工智能组装台式训练电脑工作站 24线程+32G内存+512G固态 RTX3060 12G*2GPU,深图师官方旗舰店
9888.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX金属大师OC 官方标配,台通电脑DIY专营店
5599.00,2022-09-25,华硕 微星 七彩虹 RTX3060 3070 3080 3090 电竞游戏设计专业二手95新显卡 华硕RTX-TUF 95新,发烧DIY 二手电脑专营店
3999.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX3070金属大师OC 官方标配,台通电脑DIY专营店
6929.00,2022-09-25,华硕（ASUS） RTX3080Ti/ 3090 TUF/ROG猛禽系列 吃鸡电竞游戏专业显卡24G ROG-RTX3080-O10G-V2-GAMIN,锐星电脑DIY旗舰店
29999.00,2022-09-25,宏碁 掠夺者圣盾7000 电竞游戏主机台式电脑 (i9-12900K/16G DDR5x4/1024GSSD＋2T/RTX 3090 24G独显)侧透水冷,宏碁京东自营旗舰店
74788.00,2022-09-25,深图师 AMD锐龙R9 5950X/RTX 3090 设计渲染深度学习电脑主机人工智能GPU服务器工作站 方案一锐龙R9 5900X(24线程) RTX A6000 48G*2GPU,深图师官方旗舰店
11999.00,2022-09-25,技嘉魔鹰GIGABYTE GeForce RTX 3090 Ti GAMING OC 24G电竞游戏设计智能学习电脑独立显卡支持4K,技嘉京东自营官方旗舰店
10999.00,2022-09-25,影驰（Galaxy）GeForce RTX 3090 HOF Extreme N卡/电竞专业游戏显卡,影驰京东自营旗舰店
12199.00,2022-09-25,七彩虹（Colorful） iGame RTX 3090 火神 AD 24G 电竞 电脑游戏台式机显卡 套装】火神 OC+GM1000W,七彩虹旗舰店
4899.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX3070TI星曜OC永劫版 官方标配,台通电脑DIY专营店
9999.00,2022-09-25,影驰（Galaxy）GeForce RTX 3090 TI 星曜OC 24G N卡电竞专业台式机电脑游戏显卡RTXTI星曜OC+鼠标垫套装,影驰京东自营旗舰店
10999.00,2022-09-25,深图师 双路铂金8124M/RTX 3090 深度学习主机4路GPU服务器AI人工智能组装台式电脑工作站 方案一/24核48线程 准系统不含显卡,深图师官方旗舰店
9599.00,2022-09-25,七彩虹（Colorful） RTX3080/ 3090 ti水神火神 10G 30系列超频电竞游戏显卡 七彩虹Vulcan OC火神,锐星电脑DIY旗舰店
8999.00,2022-09-25,电竞叛客 AX 台式机独立显卡RTX 3090 Ti 电脑N卡 电竞专业游戏显卡 图形图像编辑运算 RTXTI X3W 24G,电竞叛客旗舰店
6399.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡  RTX3080星曜MAX OC  FG  12G 官方标配,台通电脑DIY专营店
15529.00,2022-09-25,映众（Inno3D）GeForce RTX 3090 冰龙超级版 24GB GDDR6X 显卡/台式机/游戏/电竞/绘图/运算/AI/独立显卡,映众京东自营旗舰店
9499.00,2022-09-25,华硕（ASUS） TUF-RTX 3090 -O24G-GAMING 吃鸡游戏独立显卡 支持8K显示器 【TUF-RTX-O24G】,华硕电脑配件专卖店
39999.00,2022-09-25,深图师 AMD线程撕裂者5995WX/RTX 3090 TI深度学习4路GPU服务器工作站水冷电脑主机  方案一/线程撕裂者PRO 5975WX 准系统不含显卡,深图师官方旗舰店
6099.00,2022-09-25,技嘉RTX3080/ 3090 GAMING BOX IXEB笔记本超级本电脑雷电3外接显卡坞深度学习 AORUS RTX 3080 GAMING BOX,技嘉旗舰店
9799.00,2022-09-25,耕升 GeForce RTX 3090 /TI炫光·超OC 24GB 台式电脑电竞游戏独立显卡 RTXTI 炫光・超 OC 24GB,广任行电脑配件专营店
6699.00,2022-09-25,微星（MSI） RTX3080/ 3090 /Ti超龙/魔龙/万图师台式电脑专业设计直播电竞游戏独立显卡 RTX3080 超龙X 10G LHR,微星电脑硬件旗舰店
5399.00,2022-09-25,磐镭 RTX3070/3080/ 3090 显卡 台式机电竞游戏/图形设计/人工智能/深度学习独立显卡 【RTX3080-10G】大显存/土豪金版,磐镭电脑组件京东自营旗舰店
5599.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX3070TI HOF PRO 官方标配,台通电脑DIY专营店
16299.00,2022-09-25,众迷 i9-12900KF /32G/华硕 3090 TI猛禽发烧游戏组装电脑台式机主机整机DIY组装机 配置一i9-12700KF+32G+TUF3070,众迷旗舰店
21999.00,2022-09-25,官祺 i7/i9 12900K/RTX3080Ti/ 3090 Ti台式DIY电脑主机水冷组装游戏整机 配置四：i9 12900K+RTXTi 1,官祺数码专营店
659.00,2022-09-25,先马（SAMA）金牌1000W 台式主机电脑电源 额定功率1000W/全模组/80PLUS金牌认证/支持双CPU供电、 3090 显卡,先马SAMA京东自营旗舰店
6888.00,2022-09-25,优胜美电至强E5 2680V3/RTX 3090 深度学习双路GPU服务器AI人工智能机器学习训练电脑组装台式水冷工作站,优胜美电京东自营旗舰店
5999.00,2022-09-25,影驰 RTX 3090 名人堂HOF高端台式机电脑吃鸡电竞游戏专业独立显卡永劫无间游戏图形设计显卡 RTX3080星曜OC FG  10G 官方标配,台通电脑DIY专营店
3499.00,2022-09-25,技嘉（GIGABYTE） RTX3060 3060ti 3070ti 3080ti 3090 游戏显卡 RTX3060TI GAMING 魔鹰2.0 OC 游戏显卡,爵扬旗舰店
19999.00,2022-09-25,技嘉（GIGABYTE）全家桶i9 12900K/RTX 3090 Ti//D5游戏设计台式组装电脑主机 配置一：12900K丨32G丨1T丨3070,技嘉旗舰店
7649.00,2022-09-25,华硕（ASUS） ASUS TUF/ROG-RTX3080TI/ 3090 Ti显存 猛禽电脑独立显卡 TUF-3080TI-O12G-GAMING,华硕极客盟专卖店
9999.00,2022-09-25,影驰（Galaxy）RTX 3090 24G/GDDR6X 电脑游戏独立显卡 RTX大将 OC高频版,胖虫官方旗舰店
13199.00,2022-09-25,华硕（ASUS） ROG-STRIX-RTX 3090 -O24G-GAMING 吃鸡电竞游戏专业显卡 ROG-RTX+ROG-THOR-1000,华硕电脑配件专卖店
12999.00,2022-09-25,华硕ROG-STRIX-RTX 3090 -O24G-EVA新世纪福音战士 限量版 游戏独立显卡 限量版,华硕电脑配件专卖店
506999.00,2022-09-25,朴赛 八卡RTX 3090 显卡深度学习服务器超微4028GR-TR人工智能模型训练算法GPU服务器 含TESLA A100 40G显卡*8,朴赛旗舰店
16299.00,2022-09-25,众迷 i9-12900KF /32G/华硕 3090 TI猛禽发烧游戏组装电脑台式机主机整机DIY组装机 配置一i9-12700KF+32G+TUF3070,众迷旗舰店
9599.00,2022-09-25,七彩虹（COLORFUL） RTX3080 ULTRA W 3080ti AD 3090 火神戏显卡 战斧 GeForce RTXTI 豪华,Colorfire旗舰店
35999.00,2022-09-25,纵横卓创 i9 12900k/RTX 3090 TI 24G设计师渲染后期游戏华硕全家桶组装台式电脑主机 RTXTi 24G/华硕信仰主机,纵横卓创组装电脑旗舰店
27799.00,2022-09-25,华硕 i9 12900KF/RTX 3090 TI 24G游戏台式电脑主机水冷DIY整机电竞组装机 配置一,华硕极客盟专卖店
44999.00,2022-09-25,华硕（ASUS）玩家国度 xEVA 新世纪福音战士 DIY 游戏台式电脑 DDR5 联名EVA定制 配置五：i9-12900KS/ 3090 Ti水禽,华硕电脑配件旗舰店
14999.00,2022-09-25,华硕（ASUS） 华硕TUF/ROG RTX 3090 /TI O24G猛禽电竞台式电脑游戏高端独立显卡 ROG RTXO24G WHITE白色,华硕极客盟专卖店
19999.00,2022-09-25,技嘉（GIGABYTE）全家桶i9 12900K/RTX 3090 Ti//D5游戏设计台式组装电脑主机 配置一：12900K丨32G丨1T丨3070,技嘉旗舰店
9399.00,2022-09-25,华硕（ASUS） 华硕TUF/ROG RTX 3090 /TI O24G猛禽电竞台式电脑游戏高端独立显卡 TUF RTXO24G GAMING,华硕极客盟专卖店
18999.00,2022-09-25,华硕（ASUS） 华硕i9 12900KF/3070ti/3080ti直播台式机组装机DIY电脑主机 旗舰版12900KF+ 3090 ,华硕极客盟专卖店
